,primary_type,timestamp,clearance_status,district,x_coordinate,y_coordinate,year
4,Theft,04,C,B,3121345.0,10082705.0,2014.0
9,Auto Theft,04,N,C,3118304.0,10072414.0,2014.0
14,Theft,05,N,H,3125886.0,10047276.0,2014.0
17,Auto Theft,12,N,C,3125976.0,10072207.0,2014.0
20,Theft,04,N,B,3117183.0,10103211.0,2014.0
26,Theft,10,N,A,3102055.0,10128145.0,2014.0
29,Theft,11,C,C,3124306.0,10067892.0,2014.0
32,Theft,03,N,D,3094587.0,10048955.0,2014.0
35,Theft,07,C,E,3134231.0,10124161.0,2014.0
38,Theft,07,C,F,3111716.0,10042505.0,2014.0
42,Theft,09,N,I,3123931.0,10091029.0,2014.0
46,Theft,07,N,I,3134588.0,10082195.0,2014.0
56,Theft,05,N,B,3110257.0,10097698.0,2014.0
68,Theft,01,C,A,3103012.0,10154463.0,2014.0
77,Theft,03,N,H,3114115.0,10053567.0,2014.0
86,Theft,12,N,H,3127258.0,10055405.0,2014.0
89,Theft,06,C,I,3130685.0,10093333.0,2014.0
96,Theft,10,N,A,3100383.0,10130884.0,2014.0
99,Theft,03,N,F,3114393.0,10050515.0,2014.0
106,Theft,12,N,F,3105816.0,10042612.0,2014.0
109,Theft,08,C,D,3110845.0,10059841.0,2014.0
112,Theft,06,N,D,3106445.0,10051054.0,2014.0
123,Theft,04,N,A,3124636.0,10124176.0,2014.0
126,Agg Assault,02,C,G,3115841.0,10070419.0,2014.0
131,Theft,03,N,D,3111103.0,10052022.0,2014.0
138,Theft,01,N,I,3121360.0,10105357.0,2014.0
146,Theft,05,N,B,3117467.0,10108775.0,2014.0
150,Theft,12,N,I,3121678.0,10096228.0,2014.0
156,Theft,01,N,E,3131888.0,10107188.0,2014.0
159,Theft,09,C,G,3116350.0,10069732.0,2014.0
163,Theft,12,N,A,3112999.0,10122087.0,2014.0
166,Theft,07,N,E,3126752.0,10115541.0,2014.0
170,Theft,04,N,E,3124180.0,10103403.0,2014.0
174,Theft,12,N,H,3125983.0,10057278.0,2014.0
183,Theft,06,C,I,3129997.0,10096983.0,2014.0
186,Theft,11,C,I,3129997.0,10096983.0,2014.0
189,Theft,07,N,F,3095424.0,10039590.0,2014.0
