,primary_type,timestamp,clearance_status,district,x_coordinate,y_coordinate,year
21515,Burglary,-Ju,N,H,3126910.0,10056987.0,2016.0
21516,Burglary,-Ju,C,D,3108950.0,10053863.0,2016.0
21517,Theft,-Ju,N,I,3129996.0,10096983.0,2016.0
21518,Burglary,-Ju,N,I,3136520.0,10084860.0,2016.0
21519,Burglary,-Ju,N,F,3104587.0,10045726.0,2016.0
21520,Burglary,-Ju,N,D,3106182.0,10046764.0,2016.0
21521,Theft,-Ju,N,D,3108037.0,10054587.0,2016.0
21522,Theft,-Ju,C,D,3098607.0,10057646.0,2016.0
21523,Burglary,-Ju,N,C,3123465.0,10066712.0,2016.0
21524,Theft,-Ju,N,G,3114084.0,10070517.0,2016.0
21525,Theft,-Ju,N,D,3109601.0,10068263.0,2016.0
21526,Burglary,-Ju,N,F,3103136.0,10041017.0,2016.0
21527,Theft,-Ju,N,F,3104425.0,10046906.0,2016.0
21528,Theft,-Ju,N,I,3125968.0,10096642.0,2016.0
21529,Theft,-Ju,N,I,3124980.0,10093012.0,2016.0
21530,Theft,-Ju,N,A,3116805.0,10131649.0,2016.0
21531,Theft,-Ju,N,F,3080059.0,10026695.0,2016.0
21532,Theft,-Ju,N,E,3135985.0,10117220.0,2016.0
21533,Theft,-Ju,N,F,3108952.0,10036027.0,2016.0
21534,Theft,-Ju,N,B,3096668.0,10103153.0,2016.0
21535,Theft,-Ju,N,D,3069554.0,10055018.0,2016.0
21536,Theft,-Ju,N,G,3117252.0,10068056.0,2016.0
21537,Theft,-Ju,N,A,3112263.0,10116438.0,2016.0
21538,Agg Assault,-Ju,N,B,3109302.0,10101313.0,2016.0
21539,Theft,-Ju,N,F,3096237.0,10035944.0,2016.0
21540,Theft,-Ju,N,H,3113906.0,10059041.0,2016.0
21541,Theft,-Ju,N,H,3114318.0,10066154.0,2016.0
21542,Theft,-Ju,N,F,3099673.0,10033677.0,2016.0
21543,Theft,-Ju,N,D,3097180.0,10051144.0,2016.0
21544,Theft,-Ju,N,D,3104023.0,10066112.0,2016.0
21545,Theft,-Ju,N,D,3099923.0,10057166.0,2016.0
21546,Theft,-Ju,N,A,3109644.0,10125934.0,2016.0
21547,Theft,-Ju,N,E,3134430.0,10120298.0,2016.0
21548,Theft,-Ju,N,H,3113294.0,10063744.0,2016.0
21549,Theft,-Ju,N,E,3121691.0,10105147.0,2016.0
