,primary_type,timestamp,clearance_status,district,x_coordinate,y_coordinate,year
4,Theft: Shoplifting,04,C,B,3121345.0,10082705.0,2014.0
9,Auto Theft,04,N,C,3118304.0,10072414.0,2014.0
14,Theft: All Other Larceny,05,N,H,3125886.0,10047276.0,2014.0
17,Auto Theft,12,N,C,3125976.0,10072207.0,2014.0
20,Theft: All Other Larceny,04,N,B,3117183.0,10103211.0,2014.0
26,Theft: All Other Larceny,10,N,A,3102055.0,10128145.0,2014.0
29,Theft: All Other Larceny,11,C,C,3124306.0,10067892.0,2014.0
32,Theft: BOV,03,N,D,3094587.0,10048955.0,2014.0
35,Theft: Shoplifting,07,C,E,3134231.0,10124161.0,2014.0
38,Theft: All Other Larceny,07,C,F,3111716.0,10042505.0,2014.0
42,Theft: All Other Larceny,09,N,I,3123931.0,10091029.0,2014.0
46,Theft: BOV,07,N,I,3134588.0,10082195.0,2014.0
56,Theft: BOV,05,N,B,3110257.0,10097698.0,2014.0
68,Theft: All Other Larceny,01,C,A,3103012.0,10154463.0,2014.0
77,Theft: BOV,03,N,H,3114115.0,10053567.0,2014.0
86,Theft: Shoplifting,12,N,H,3127258.0,10055405.0,2014.0
89,Theft: All Other Larceny,06,C,I,3130685.0,10093333.0,2014.0
96,Theft: All Other Larceny,10,N,A,3100383.0,10130884.0,2014.0
99,Theft: All Other Larceny,03,N,F,3114393.0,10050515.0,2014.0
106,Theft: BOV,12,N,F,3105816.0,10042612.0,2014.0
109,Theft: All Other Larceny,08,C,D,3110845.0,10059841.0,2014.0
112,Theft: BOV,06,N,D,3106445.0,10051054.0,2014.0
123,Theft: All Other Larceny,04,N,A,3124636.0,10124176.0,2014.0
126,Aggravated Assault,02,C,G,3115841.0,10070419.0,2014.0
131,Theft: All Other Larceny,03,N,D,3111103.0,10052022.0,2014.0
138,Theft: All Other Larceny,01,N,I,3121360.0,10105357.0,2014.0
146,Theft: All Other Larceny,05,N,B,3117467.0,10108775.0,2014.0
150,Theft: Shoplifting,12,N,I,3121678.0,10096228.0,2014.0
156,Theft: All Other Larceny,01,N,E,3131888.0,10107188.0,2014.0
159,Theft: All Other Larceny,09,C,G,3116350.0,10069732.0,2014.0
163,Theft: BOV,12,N,A,3112999.0,10122087.0,2014.0
166,Theft: All Other Larceny,07,N,E,3126752.0,10115541.0,2014.0
170,Theft: BOV,04,N,E,3124180.0,10103403.0,2014.0
174,Theft: All Other Larceny,12,N,H,3125983.0,10057278.0,2014.0
183,Theft: Shoplifting,06,C,I,3129997.0,10096983.0,2014.0
186,Theft: Shoplifting,11,C,I,3129997.0,10096983.0,2014.0
189,Theft: BOV,07,N,F,3095424.0,10039590.0,2014.0
194,Theft: BOV,05,N,D,3065332.0,10039382.0,2014.0
198,Theft: Shoplifting,03,N,B,3124602.0,10084923.0,2014.0
203,Theft: Shoplifting,02,N,I,3119220.0,10108622.0,2014.0
209,Theft: All Other Larceny,10,N,H,3118036.0,10057924.0,2014.0
216,Theft: BOV,12,N,I,3126502.0,10096146.0,2014.0
219,Theft: All Other Larceny,03,N,B,3118712.0,10085441.0,2014.0
221,Theft: Shoplifting,11,N,D,3089372.0,10057773.0,2014.0
225,Theft: All Other Larceny,02,N,E,3135104.0,10114694.0,2014.0
228,Auto Theft,09,C,D,3100620.0,10056997.0,2014.0
236,Auto Theft,01,C,H,3118402.0,10057171.0,2014.0
252,Theft: BOV,09,N,D,3086044.0,10065321.0,2014.0
266,Theft: All Other Larceny,11,C,C,3136582.0,10075176.0,2014.0
277,Robbery,08,N,F,3116449.0,10041252.0,2014.0
290,Theft: All Other Larceny,10,N,A,3111587.0,10130101.0,2014.0
301,Theft: BOV,01,N,H,3129859.0,10056892.0,2014.0
304,Theft: BOV,09,N,D,3088428.0,10063479.0,2014.0
313,Theft: All Other Larceny,12,N,F,3112638.0,10050915.0,2014.0
320,Theft: Shoplifting,04,C,A,3092524.0,10143916.0,2014.0
331,Robbery,06,C,G,3119209.0,10068797.0,2014.0
334,Theft: Shoplifting,03,C,H,3118447.0,10062526.0,2014.0
337,Theft: BOV,05,N,F,3090881.0,10041984.0,2014.0
342,Theft: BOV,04,N,B,3113341.0,10106408.0,2014.0
352,Theft: Shoplifting,11,C,A,3093729.0,10145900.0,2014.0
359,Theft: All Other Larceny,08,N,D,3097772.0,10056642.0,2014.0
362,Theft: BOV,03,N,G,3119498.0,10068691.0,2014.0
370,Theft: BOV,06,N,AP,3138768.0,10047351.0,2014.0
374,Aggravated Assault,05,C,E,3130052.0,10103286.0,2014.0
380,Theft: All Other Larceny,07,N,A,3115847.0,10132037.0,2014.0
384,Theft: All Other Larceny,10,N,I,3121605.0,10089443.0,2014.0
386,Theft: Shoplifting,03,C,E,3134231.0,10124161.0,2014.0
389,Theft: BOV,03,N,B,3112705.0,10107508.0,2014.0
392,Theft: Shoplifting,10,C,I,3129997.0,10096983.0,2014.0
396,Theft: All Other Larceny,10,N,B,3127953.0,10083340.0,2014.0
407,Theft: BOV,03,N,F,3107922.0,10043296.0,2014.0
410,Theft: All Other Larceny,08,N,F,3093622.0,10043421.0,2014.0
413,Theft: All Other Larceny,11,N,E,3127650.0,10106327.0,2014.0
418,Theft: Shoplifting,10,C,H,3120959.0,10059177.0,2014.0
420,Theft: Shoplifting,11,C,D,3108051.0,10046007.0,2014.0
423,Theft: All Other Larceny,03,N,I,3115025.0,10092651.0,2014.0
434,Theft: BOV,10,N,D,3068100.0,10042863.0,2014.0
436,Theft: All Other Larceny,03,N,A,3095348.0,10142694.0,2014.0
439,Theft: Shoplifting,03,C,A,3092524.0,10143916.0,2014.0
444,Theft: BOV,10,N,C,3123742.0,10082086.0,2014.0
448,Aggravated Assault,02,C,D,3080715.0,10057208.0,2014.0
451,Theft: BOV,08,N,G,3119328.0,10068857.0,2014.0
456,Theft: All Other Larceny,04,N,B,3104471.0,10074895.0,2014.0
463,Theft: BOV,05,N,D,3076817.0,10043781.0,2014.0
466,Theft: All Other Larceny,07,N,A,3096967.0,10143063.0,2014.0
469,Auto Theft,01,N,E,3119898.0,10108606.0,2014.0
486,Theft: from Building,03,N,E,3127035.0,10106225.0,2014.0
489,Theft: BOV,01,N,A,3114868.0,10118997.0,2014.0
492,Theft: All Other Larceny,01,N,G,3113421.0,10070177.0,2014.0
496,Theft: BOV,09,N,A,3082092.0,10129759.0,2014.0
500,Theft: Pocket Picking,09,N,G,3115574.0,10070283.0,2014.0
502,Robbery,02,N,H,3118147.0,10058688.0,2014.0
505,Theft: All Other Larceny,02,C,C,3124306.0,10067892.0,2014.0
512,Theft: Shoplifting,04,C,I,3129997.0,10096983.0,2014.0
524,Theft: All Other Larceny,11,N,B,3126574.0,10080498.0,2014.0
529,Theft: BOV,04,N,B,3110352.0,10099285.0,2014.0
534,Theft: BOV,09,N,B,3112543.0,10097099.0,2014.0
537,Theft: All Other Larceny,07,C,H,3121770.0,10057728.0,2014.0
540,Auto Theft,08,N,E,3134045.0,10116652.0,2014.0
547,Theft: BOV,09,N,I,3123931.0,10091029.0,2014.0
551,Theft: BOV,09,N,B,3111956.0,10079424.0,2014.0
554,Theft: Shoplifting,10,C,F,3100423.0,10033116.0,2014.0
558,Theft: All Other Larceny,04,N,B,3128117.0,10079386.0,2014.0
567,Theft: All Other Larceny,04,C,B,3124571.0,10085297.0,2014.0
577,Theft: All Other Larceny,03,N,D,3083694.0,10053910.0,2014.0
