,primary_type,timestamp,clearance_status,district,x_coordinate,y_coordinate,year
21931,Theft,-Ju,N,H,3120959.0,10059177.0,2015.0
21932,Theft,-Ju,N,A,3117092.0,10117627.0,2015.0
21933,Theft,-Ju,N,E,3140687.0,10093519.0,2015.0
21934,Theft,-Ju,N,G,3117476.0,10067816.0,2015.0
21935,Theft,-Ju,N,E,3124971.0,10102723.0,2015.0
21936,Theft,-Ju,N,D,3063441.0,10065263.0,2015.0
21937,Theft,-Ju,N,H,3117468.0,10063346.0,2015.0
21938,Theft,-Ju,N,G,3118144.0,10067776.0,2015.0
21939,Theft,-Ju,N,A,3105114.0,10129757.0,2015.0
21940,Theft,-Ju,N,F,3108593.0,10045858.0,2015.0
21941,Theft,-Ju,N,I,3123877.0,10087558.0,2015.0
21942,Theft,-Ju,N,A,3089368.0,10139315.0,2015.0
21943,Theft,-Ju,N,E,3120422.0,10108394.0,2015.0
21944,Theft,-Ju,N,I,3119887.0,10108255.0,2015.0
21945,Theft,-Ju,N,F,3103153.0,10045074.0,2015.0
21946,Theft,-Ju,N,F,3102495.0,10035405.0,2015.0
21947,Theft,-Ju,N,F,3117727.0,10049619.0,2015.0
21948,Theft,-Ju,N,E,3124214.0,10110323.0,2015.0
21949,Theft,-Ju,N,G,3119235.0,10068370.0,2015.0
21950,Theft,-Ju,N,A,3110680.0,10127510.0,2015.0
21951,Theft,-Ju,N,F,3086962.0,10039405.0,2015.0
21952,Theft,-Ju,N,A,3082827.0,10131414.0,2015.0
21953,Theft,-Ju,N,H,3121531.0,10055853.0,2015.0
21954,Theft,-Ju,N,E,3127447.0,10098323.0,2015.0
21955,Theft,-Ju,N,I,3126879.0,10092289.0,2015.0
21956,Theft,-Ju,C,F,3116023.0,10034708.0,2015.0
21957,Theft,-Ju,N,I,3130277.0,10089721.0,2015.0
21958,Theft,-Ju,N,A,3118739.0,10119113.0,2015.0
21959,Theft,-Ju,N,C,3137530.0,10079446.0,2015.0
21960,Theft,-Ju,N,E,3130052.0,10103286.0,2015.0
21961,Theft,-Ju,N,I,3126272.0,10094107.0,2015.0
21962,Theft,-Ju,N,B,3121345.0,10082705.0,2015.0
21963,Theft,-Ju,N,B,3116014.0,10080316.0,2015.0
21964,Theft,-Ju,N,E,3139913.0,10111094.0,2015.0
21965,Theft,-Ju,C,I,3125688.0,10094563.0,2015.0
21966,Theft,-Ju,N,H,3119388.0,10062086.0,2015.0
21967,Theft,-Ju,N,AP,3138768.0,10047351.0,2015.0
21968,Theft,-Ju,N,E,3134819.0,10111758.0,2015.0
21969,Theft,-Ju,N,F,3088927.0,10036470.0,2015.0
21970,Theft,-Ju,N,H,3119388.0,10062086.0,2015.0
21971,Theft,-Ju,N,I,3134242.0,10082685.0,2015.0
21972,Theft,-Ju,N,F,3094026.0,10043567.0,2015.0
21973,Theft,-Ju,N,G,3114310.0,10070753.0,2015.0
21974,Theft,-Ju,N,C,3127574.0,10068088.0,2015.0
21975,Theft,-Ju,N,B,3113819.0,10080268.0,2015.0
21976,Theft,-Ju,N,E,3128679.0,10099279.0,2015.0
